# Cat?logo base TW Salud ? Tecprog World E.I.R.L.
# Codificaci?n: UTF-8
# L?nea completa: TW Salud y Vida - Pr?tesis y Tecnolog?a M?dica
# Nombre corto: TW Salud
# Separador: |
# Nota obligatoria: Los servicios de TW Salud se orientan a dise?o, prototipado, soporte t?cnico, accesibilidad e investigaci?n aplicada. La evaluaci?n cl?nica, prescripci?n, adaptaci?n m?dica y validaci?n de uso deben realizarse con profesionales de salud competentes cuando corresponda.
# Regla: no afirmar diagn?stico m?dico, prescripci?n, aprobaci?n cl?nica ni fabricaci?n de dispositivos m?dicos listos para uso cl?nico sin validaci?n competente.

id | linea | categoria | servicio_producto | tipo | descripcion_corta | publico_objetivo | modalidad | entregables | precio_peru_desde_soles | precio_internacional_desde_usd | estado | requiere_validacion_profesional | nota_tecnica
tw-salud-diseno-conceptual-protesis | TW Salud | Pr?tesis y ?rtesis | Dise?o conceptual de pr?tesis | Asesor?a t?cnica | Dise?o t?cnico inicial de una soluci?n prot?sica como concepto de ingenier?a, sin prescripci?n m?dica ni promesa de uso cl?nico. | Personas con requerimientos de apoyo, familias, estudiantes, terapeutas, instituciones | Remoto o presencial coordinado | Entrevista t?cnica; requerimientos preliminares; boceto conceptual; recomendaciones de validaci?n profesional | 49 | 49 | vigente | s? | Concepto preliminar sujeto a evaluaci?n cl?nica y validaci?n con profesionales competentes.
tw-salud-modelado-cad-protesis | TW Salud | Pr?tesis y ?rtesis | Modelado CAD para pr?tesis | Servicio t?cnico | Modelado 3D de componentes prot?sicos para revisi?n t?cnica, prototipado educativo o documentaci?n de ingenier?a. | Estudiantes, investigadores, proyectos sociales, profesionales de apoyo | Remoto | Archivo CAD b?sico; render; ficha t?cnica; recomendaciones de fabricaci?n | 149 | 49 | vigente | s? | El modelo CAD no constituye dispositivo m?dico aprobado ni reemplaza adaptaci?n cl?nica.
tw-salud-prototipado-no-clinico-protesis | TW Salud | Pr?tesis y ?rtesis | Prototipado no cl?nico de pr?tesis | Prototipo no cl?nico | Fabricaci?n o coordinaci?n de prototipos no cl?nicos para evaluaci?n de forma, ergonom?a preliminar y aprendizaje t?cnico. | Laboratorios, tesistas, instituciones, proyectos de innovaci?n | Presencial coordinado o h?brido | Prototipo educativo; ficha de iteraci?n; registro fotogr?fico; recomendaciones de riesgo | 299 | 90 | prototipo | s? | Uso restringido a pruebas no cl?nicas, educaci?n o investigaci?n aplicada.
tw-salud-diseno-conceptual-ortesis | TW Salud | Pr?tesis y ?rtesis | Dise?o conceptual de ?rtesis | Asesor?a t?cnica | Dise?o conceptual de soportes u ?rtesis como acompa?amiento de ingenier?a para revisi?n profesional posterior. | Personas con requerimientos de apoyo, terapeutas, estudiantes, cuidadores | Remoto o presencial coordinado | Requerimientos; boceto t?cnico; criterios de material; advertencias de validaci?n | 49 | 49 | vigente | s? | No se prescribe ni adapta m?dicamente; requiere evaluaci?n competente cuando corresponda.
tw-salud-modelado-cad-ortesis | TW Salud | Pr?tesis y ?rtesis | Modelado CAD para ?rtesis | Servicio t?cnico | Modelado CAD de f?rulas, soportes o adaptadores con enfoque de documentaci?n y prototipado responsable. | Estudiantes, terapeutas con equipo profesional, proyectos de asistencia | Remoto | Archivo CAD; render; ficha t?cnica; recomendaciones de impresi?n o fabricaci?n | 149 | 49 | vigente | s? | Debe revisarse con profesionales de salud antes de cualquier uso sobre una persona.
tw-salud-prototipado-ferulas-soportes | TW Salud | Pr?tesis y ?rtesis | Prototipado de f?rulas y soportes personalizados | Prototipo no cl?nico | Prototipos de f?rulas, soportes o ayudas de posicionamiento para revisi?n no cl?nica y mejora iterativa. | Instituciones educativas, laboratorios, proyectos inclusivos, familias con acompa?amiento profesional | H?brido | Prototipo no cl?nico; ficha de materiales; recomendaciones de ajuste; informe breve | 299 | 90 | prototipo | s? | Prototipo educativo o experimental; no usar como dispositivo m?dico sin validaci?n profesional.
tw-salud-adaptacion-mecanica-dispositivos-apoyo | TW Salud | Pr?tesis y ?rtesis | Adaptaci?n mec?nica preliminar de dispositivos de apoyo | Servicio t?cnico | Revisi?n y ajuste mec?nico preliminar de dispositivos de apoyo desde una mirada de ingenier?a y seguridad b?sica. | Usuarios, familias, cuidadores, instituciones | Presencial coordinado | Revisi?n visual; ajuste preliminar; lista de riesgos; recomendaci?n de servicio especializado | 79 | 49 | condicionado | s? | No sustituye adaptaci?n cl?nica, ergon?mica ni certificaci?n de seguridad del fabricante.
tw-salud-diagnostico-tecnico-equipos-no-invasivos | TW Salud | Tecnolog?a m?dica y mantenimiento | Diagn?stico t?cnico de equipos m?dicos no invasivos | Diagn?stico t?cnico | Inspecci?n t?cnica no m?dica de equipos no invasivos para identificar fallas visibles, conectores, fuente, perif?ricos y condiciones de uso. | Consultorios, centros peque?os, t?cnicos, administradores de equipos | Presencial coordinado | Ficha de diagn?stico t?cnico; fotograf?as; lista de hallazgos; recomendaci?n de derivaci?n autorizada | 79 | 49 | vigente | s? | No es diagn?stico m?dico ni reparaci?n certificada; derivar a servicio autorizado si corresponde.
tw-salud-mantenimiento-preventivo-biomedico-basico | TW Salud | Tecnolog?a m?dica y mantenimiento | Mantenimiento preventivo de equipos biom?dicos b?sicos | Servicio t?cnico | Limpieza externa, revisi?n funcional b?sica y documentaci?n preventiva de equipos biom?dicos de bajo riesgo. | Consultorios, instituciones educativas, peque?os centros de atenci?n | Presencial coordinado | Checklist preventivo; limpieza externa; reporte t?cnico; recomendaciones de cuidado | 149 | 60 | condicionado | s? | No incluye calibraci?n certificada, intervenci?n interna riesgosa ni manipulaci?n que anule garant?as.
tw-salud-revision-fuentes-conectores-perifericos | TW Salud | Tecnolog?a m?dica y mantenimiento | Revisi?n de fuentes, conectores y perif?ricos | Servicio t?cnico | Revisi?n de alimentaci?n, cables, conectores y perif?ricos asociados a equipos no invasivos, priorizando seguridad b?sica. | Consultorios, laboratorios, usuarios institucionales | Presencial coordinado | Checklist el?ctrico externo; inventario de accesorios; reporte de riesgos; recomendaci?n de reemplazo | 79 | 49 | vigente | s? | No intervenir circuitos internos sin alcance autorizado ni certificaci?n correspondiente.
tw-salud-documentacion-tecnica-mantenimiento | TW Salud | Tecnolog?a m?dica y mantenimiento | Documentaci?n t?cnica de mantenimiento | Documentaci?n t?cnica | Elaboraci?n de fichas, bit?coras y formatos de mantenimiento para trazabilidad de equipos y accesorios. | Administradores, consultorios, docentes, t?cnicos | Remoto o presencial coordinado | Formato de bit?cora; ficha t?cnica; matriz de estado; plan b?sico de seguimiento | 149 | 60 | vigente | no | La documentaci?n organiza informaci?n t?cnica y no certifica cumplimiento regulatorio por s? sola.
tw-salud-inventario-tecnico-equipos-medicos | TW Salud | Tecnolog?a m?dica y mantenimiento | Inventario t?cnico de equipos m?dicos | Servicio t?cnico | Levantamiento de inventario t?cnico, estado externo, ubicaci?n, accesorios y criticidad preliminar de equipos. | Consultorios, centros peque?os, instituciones educativas | Presencial coordinado | Inventario en hoja de c?lculo; fichas por equipo; sem?foro de estado; recomendaciones | 299 | 100 | vigente | s? | La criticidad es preliminar y debe complementarse con evaluaci?n de ingenier?a cl?nica cuando corresponda.
tw-salud-capacitacion-cuidado-equipos | TW Salud | Tecnolog?a m?dica y mantenimiento | Capacitaci?n b?sica en cuidado de equipos | Capacitaci?n | Capacitaci?n introductoria sobre cuidado externo, almacenamiento, limpieza no invasiva y buenas pr?cticas de registro. | Personal administrativo, estudiantes, cuidadores t?cnicos, responsables de equipos | Virtual o presencial coordinado | Sesi?n formativa; gu?a breve; checklist de cuidado; recomendaciones | 149 | 49 | vigente | no | No habilita a realizar reparaciones internas ni actos reservados a personal autorizado.
