"id","nombre","linea","categoria","tipo","precio_actual","moneda_actual","precio_base_usd","comision_paypal_porcentaje","comision_paypal_fija_usd","precio_paypal_calculado_usd","precio_venta_usd","estado_precio","archivo_fuente"
"tw-store-001","iPhone 16e 5G 128GB","tw-store","Celulares","producto","{""precio_soles"":3022.88,""precio_dolares"":null}","PEN","","5.40","0.30","","","PRECIO_EN_PEN_REQUIERE_CONVERSION","data/catalogo_global.json"
"tw-store-002","iPhone 15 128GB","tw-store","Celulares","producto","{""precio_soles"":2910.88,""precio_dolares"":null}","PEN","","5.40","0.30","","","PRECIO_EN_PEN_REQUIERE_CONVERSION","data/catalogo_global.json"
"tw-store-003","Samsung Galaxy A16 4G 128GB","tw-store","Celulares","producto","{""precio_soles"":592.48,""precio_dolares"":null}","PEN","","5.40","0.30","","","PRECIO_EN_PEN_REQUIERE_CONVERSION","data/catalogo_global.json"
"tw-store-004","AirPods Pro 2da Gen","tw-store","Audio","producto","{""precio_soles"":1062.88,""precio_dolares"":null}","PEN","","5.40","0.30","","","PRECIO_EN_PEN_REQUIERE_CONVERSION","data/catalogo_global.json"
"tw-store-005","JBL Wave Buds 2 True Wireless","tw-store","Audio","producto","{""precio_soles"":222.88,""precio_dolares"":null}","PEN","","5.40","0.30","","","PRECIO_EN_PEN_REQUIERE_CONVERSION","data/catalogo_global.json"
"tw-store-006","Marshall Major V Bluetooth","tw-store","Audio","producto","{""precio_soles"":670.88,""precio_dolares"":null}","PEN","","5.40","0.30","","","PRECIO_EN_PEN_REQUIERE_CONVERSION","data/catalogo_global.json"
"tw-store-007","Parlantes para PC Teraware USB","tw-store","Audio","producto","{""precio_soles"":33.49,""precio_dolares"":null}","PEN","","5.40","0.30","","","PRECIO_EN_PEN_REQUIERE_CONVERSION","data/catalogo_global.json"
"tw-store-008","JBL PartyBox Stage 320","tw-store","Audio","producto","{""precio_soles"":2574.88,""precio_dolares"":null}","PEN","","5.40","0.30","","","PRECIO_EN_PEN_REQUIERE_CONVERSION","data/catalogo_global.json"
"tw-store-009","Lenovo LOQ 15IAX9 Gaming","tw-store","Laptops","producto","{""precio_soles"":3534.72,""precio_dolares"":null}","PEN","","5.40","0.30","","","PRECIO_EN_PEN_REQUIERE_CONVERSION","data/catalogo_global.json"
"tw-store-010","ASUS TUF Gaming F16","tw-store","Laptops","producto","{""precio_soles"":5397.84,""precio_dolares"":null}","PEN","","5.40","0.30","","","PRECIO_EN_PEN_REQUIERE_CONVERSION","data/catalogo_global.json"
"tw-store-011","ASUS ROG Strix G16","tw-store","Laptops","producto","{""precio_soles"":8905.68,""precio_dolares"":null}","PEN","","5.40","0.30","","","PRECIO_EN_PEN_REQUIERE_CONVERSION","data/catalogo_global.json"
"tw-store-012","ASUS TUF VG249Q5A 23.8 pulgadas","tw-store","Monitores","producto","{""precio_soles"":541.52,""precio_dolares"":null}","PEN","","5.40","0.30","","","PRECIO_EN_PEN_REQUIERE_CONVERSION","data/catalogo_global.json"
"tw-store-013","Samsung Odyssey G3 24 pulgadas","tw-store","Monitores","producto","{""precio_soles"":514.08,""precio_dolares"":null}","PEN","","5.40","0.30","","","PRECIO_EN_PEN_REQUIERE_CONVERSION","data/catalogo_global.json"
"tw-store-014","Meta Quest 3","tw-store","Realidad Virtual","producto","{""precio_soles"":null,""precio_dolares"":null}","PEN","","5.40","0.30","","","PRECIO_REQUIERE_INVESTIGACION","data/catalogo_global.json"
"tw-store-015","Hub USB-C multipuerto","tw-store","Accesorios","producto","{""precio_soles"":89,""precio_dolares"":null}","PEN","","5.40","0.30","","","PRECIO_EN_PEN_REQUIERE_CONVERSION","data/catalogo_global.json"
"tw-disfruta-001","Videojuego original Tecprog World","tw-disfruta","Videojuegos","videojuego","{""precio_soles"":null,""precio_dolares"":null}","PEN","","5.40","0.30","","","NO_APLICA_PRECIO_FIJO","data/catalogo_global.json"
"tw-disfruta-002","Demo jugable bajo pedido","tw-disfruta","Videojuegos","servicio","{""precio_soles"":null,""precio_dolares"":null}","PEN","","5.40","0.30","","","NO_APLICA_PRECIO_FIJO","data/catalogo_global.json"
"tw-disfruta-003","Asset 3D para videojuego","tw-disfruta","Assets digitales","contenido_digital","{""precio_soles"":null,""precio_dolares"":null}","PEN","","5.40","0.30","","","NO_APLICA_PRECIO_FIJO","data/catalogo_global.json"
