"id","nombre","categoria","precio_actual","moneda_actual","estado_precio","precio_base_usd","precio_paypal_calculado_usd","precio_venta_usd","archivo_fuente"
"tw-store-001","iPhone 16e 5G 128GB","Celulares","{""precio_soles"":3022.88,""precio_dolares"":null}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/catalogo_global.json"
"tw-store-002","iPhone 15 128GB","Celulares","{""precio_soles"":2910.88,""precio_dolares"":null}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/catalogo_global.json"
"tw-store-003","Samsung Galaxy A16 4G 128GB","Celulares","{""precio_soles"":592.48,""precio_dolares"":null}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/catalogo_global.json"
"tw-store-004","AirPods Pro 2da Gen","Audio","{""precio_soles"":1062.88,""precio_dolares"":null}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/catalogo_global.json"
"tw-store-005","JBL Wave Buds 2 True Wireless","Audio","{""precio_soles"":222.88,""precio_dolares"":null}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/catalogo_global.json"
"tw-store-006","Marshall Major V Bluetooth","Audio","{""precio_soles"":670.88,""precio_dolares"":null}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/catalogo_global.json"
"tw-store-007","Parlantes para PC Teraware USB","Audio","{""precio_soles"":33.49,""precio_dolares"":null}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/catalogo_global.json"
"tw-store-008","JBL PartyBox Stage 320","Audio","{""precio_soles"":2574.88,""precio_dolares"":null}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/catalogo_global.json"
"tw-store-009","Lenovo LOQ 15IAX9 Gaming","Laptops","{""precio_soles"":3534.72,""precio_dolares"":null}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/catalogo_global.json"
"tw-store-010","ASUS TUF Gaming F16","Laptops","{""precio_soles"":5397.84,""precio_dolares"":null}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/catalogo_global.json"
"tw-store-011","ASUS ROG Strix G16","Laptops","{""precio_soles"":8905.68,""precio_dolares"":null}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/catalogo_global.json"
"tw-store-012","ASUS TUF VG249Q5A 23.8 pulgadas","Monitores","{""precio_soles"":541.52,""precio_dolares"":null}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/catalogo_global.json"
"tw-store-013","Samsung Odyssey G3 24 pulgadas","Monitores","{""precio_soles"":514.08,""precio_dolares"":null}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/catalogo_global.json"
"tw-store-014","Meta Quest 3","Realidad Virtual","{""precio_soles"":null,""precio_dolares"":null}","PEN","PRECIO_REQUIERE_INVESTIGACION","","","","data/catalogo_global.json"
"tw-store-015","Hub USB-C multipuerto","Accesorios","{""precio_soles"":89,""precio_dolares"":null}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/catalogo_global.json"
